,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
790,0.815,1.0,1.911,2.383897846963416,1.0,1427824829.3574026,93549640.40701967,Selsis,-0.4654326685456942,-0.7501022448102989,log,0.06763596511448332,4.900611635712963e+18,0.935838274931143,0.06763596511448332
791,0.815,1.0,1.911,0.5902093822261073,1.0,9079980497.464542,22301005.959939033,Selsis,-0.42554966412700324,-0.6540674327258851,linear,0.2570207510954644,5.43898108163651e+20,0.2536421833159761,0.2570207510954644
792,0.815,1.0,1.911,0.7430425365559435,1.0,4857300807.322926,1749205.1212979797,Selsis,-0.43548151087951636,-0.737857568880707,linear,0.22611686132139833,5.785745154168871e+20,0.7893795956953572,0.22611686132139833
793,0.815,1.0,1.911,0.604198669522957,1.0,8454039911.787857,56464698.018528886,Selsis,-0.4643241032274586,-0.7683112913344834,GP,0.3610589713040734,1.0806003011758515e+18,0.7866765869698346,0.3610589713040734
794,0.815,1.0,1.911,0.6444080073145476,1.0,6991888165.26122,63735708.417770885,Selsis,-0.28853580919703825,-0.7888882507892201,linear,0.24709718029623778,7.246050390784157e+20,0.64811939811049,0.24709718029623778
795,0.815,1.0,1.911,0.8904254987001662,1.0,3826311362.3751287,61134497.919884816,Selsis,-0.41269434718201947,-0.7265423770881801,log,0.08085885545540356,1.3076629315480218e+19,0.28037192977185543,0.08085885545540356
796,0.815,1.0,1.911,2.2439233173369013,1.0,3170825101.6666946,46380022.82466017,Jackson,-0.4066859707872573,-0.7587459191962209,GP,0.1704123885399593,3.616362332897797e+17,0.8203251135036035,0.1704123885399593
797,0.815,1.0,1.911,1.87285399575367,1.0,4509006282.075049,76594600.62245993,Jackson,-0.32072171650670456,-0.6173510280432485,GP,0.06787971832845953,7.842744541032005e+17,0.8382855579546554,0.06787971832845953
798,0.815,1.0,1.911,3.6263741552353888,1.0,1553397617.8735096,84357729.2352301,Jackson,-0.3430473824573157,-0.6090568533408769,linear,0.306991805281154,3.0160237500958455e+20,0.8341988619074701,0.306991805281154
799,0.815,1.0,1.911,0.6024952216892354,1.0,8526539980.401695,55985045.04489215,Selsis,-0.4292804852745846,-0.6091014356298863,GP,0.3804102806934886,1.4551510751005105e+18,0.15348688530539822,0.3804102806934886
800,0.815,1.0,1.911,0.7107597074122928,1.0,5337373776.371375,26467743.039340023,Selsis,-0.40968919202294873,-0.68305032151288,linear,0.18467492804132024,5.263161940320086e+20,0.2637520357391063,0.18467492804132024
