,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
774,0.815,1.0,1.911,1.8773430352344571,1.0,4486150327.866407,3784672.58414582,Jackson,-0.3699737534537628,-0.7714550924441397,linear,0.24614588622526581,9.262556448790778e+18,0.9803541306257847,0.24614588622526581
775,0.815,1.0,1.911,1.938678069381595,1.0,4191310953.7410235,32824004.56181984,Jackson,-0.45389888505654985,-0.7376630043878165,log,0.06597838033774453,654222135160999.2,0.19471483780010002,0.06597838033774453
776,0.815,1.0,1.911,0.7149404688451926,1.0,5254654461.269139,75829256.6958094,Selsis,-0.2822997030789854,-0.676891537778571,log,0.32655452541497465,1.3971387369833491e+21,0.3834756262621746,0.32655452541497465
777,0.815,1.0,1.911,3.715600482092198,1.0,1505048928.548679,45008021.03952865,Jackson,-0.4980994674488694,-0.6421155578199249,linear,0.3318799183535466,229696784336806.4,0.6776553282883331,0.3318799183535466
778,0.815,1.0,1.911,2.075624732260831,1.0,3633708204.0176406,66673111.33525551,Jackson,-0.4253527120814477,-0.7538260795335873,linear,0.10745400488210742,561173653554327.44,0.5180681998760054,0.10745400488210742
779,0.815,1.0,1.911,1.8654041913531196,1.0,4547344244.680043,30942888.60749723,Jackson,-0.3467948943571316,-0.7327356335736978,linear,0.05696377398401916,8.343177736249932e+19,0.23247014032764446,0.05696377398401916
780,0.815,1.0,1.911,0.6029004512828274,1.0,8509203850.607605,93921425.83504327,Selsis,-0.34066568822633914,-0.643868171406548,log,0.06427063358584269,4.153382469779625e+20,0.4935791576201103,0.06427063358584269
781,0.815,1.0,1.911,0.7506293894479857,1.0,4791270326.834727,55129902.85088508,Selsis,-0.3643103969671331,-0.6014337646616121,GP,0.08503051871312281,1.0601750796535642e+21,0.4810682018835717,0.08503051871312281
782,0.815,1.0,1.911,4.240926486330264,1.0,1268847204.3835657,54528487.015258,Jackson,-0.4521472931871799,-0.6776283616593344,linear,0.4462353137016658,191039239452095.6,0.10284824695097339,0.4462353137016658
783,0.815,1.0,1.911,2.2317192204105956,1.0,3199541038.829082,22971639.903975114,Jackson,-0.2997185352794393,-0.6292318291899877,log,0.172322381137048,7.243124287413137e+20,0.4298364200526218,0.172322381137048
784,0.815,1.0,1.911,7.206932437997769,1.0,589120078.1263769,32579593.97634256,Selsis,-0.43975010035206474,-0.649966131433937,log,0.08923666417184704,1.1398624703956733e+21,0.18836172153820985,0.08923666417184704
785,0.815,1.0,1.911,0.6888189984826432,1.0,5807975087.2683,11680725.10258831,Selsis,-0.3575820958287103,-0.7633616223632687,GP,0.051093371938897895,1.7677878257336155e+21,0.9301818479645511,0.051093371938897895
786,0.815,1.0,1.911,0.690991406294569,1.0,5758456296.440223,26794132.355156116,Selsis,-0.4188750919174028,-0.7609397569161601,log,0.1155202231380977,1.2293432949744974e+21,0.27472484905517636,0.1155202231380977
787,0.815,1.0,1.911,1.136455706286248,1.0,2896561175.7982016,18429970.20433798,Selsis,-0.3499237821392944,-0.7922621530605389,GP,0.3783824585978554,1.7344644486548617e+21,0.13179822497132565,0.3783824585978554
788,0.815,1.0,1.911,1.7636238216970594,1.0,5619695463.978485,25373194.593405567,Jackson,-0.4933142045344059,-0.6613218418555462,GP,0.11184849200709694,880110844300767.8,0.14150066357944946,0.11184849200709694
789,0.815,1.0,1.911,0.7191860116738978,1.0,5172745518.071746,71608260.80212072,Selsis,-0.4223525035879463,-0.7611726105298239,log,0.06866205684143974,4.409416421141032e+20,0.7258624196846348,0.06866205684143974
790,0.815,1.0,1.911,1.9305263219048265,1.0,4228706674.335376,21567797.82158888,Jackson,-0.499496482571069,-0.7933113793369334,linear,0.22149529128410328,661876161293463.5,0.23720748326570862,0.22149529128410328
791,0.815,1.0,1.911,0.725100822558148,1.0,5062012233.197881,79503557.2090635,Selsis,-0.45304341947949145,-0.6494406066996729,log,0.25532916946160983,3.2465638553961746e+20,0.08214078396137581,0.25532916946160983
792,0.815,1.0,1.911,0.7608314089034668,1.0,4705175130.564104,47256325.6579011,Selsis,-0.3759456576536466,-0.7993601575068269,log,0.3489194481539592,9.827226903242497e+20,0.3920042848441396,0.3489194481539592
793,0.815,1.0,1.911,2.248857476846492,1.0,3159339030.350142,47308150.42947551,Jackson,-0.47483748008150434,-0.7261394092413218,GP,0.07586122180245401,489591409527091.7,0.6962155295967907,0.07586122180245401
794,0.815,1.0,1.911,0.6743415402812779,1.0,6156189915.3092165,72245629.4284189,Selsis,-0.4671254238032126,-0.781089453328535,log,0.0961691938397823,3.80884011466691e+20,0.49393819763648594,0.0961691938397823
795,0.815,1.0,1.911,0.9649000520088321,1.0,3460605786.6469784,47328340.838439405,Selsis,-0.32211567485640447,-0.769047956204149,log,0.21739740795368084,1.416394239251694e+21,0.791889528602929,0.21739740795368084
796,0.815,1.0,1.911,0.6153628574429705,1.0,8002205012.905002,65826672.62028751,Selsis,-0.3988970233476839,-0.64872112808501,GP,0.42061081373084613,6.446792129410404e+20,0.7389713112861104,0.42061081373084613
797,0.815,1.0,1.911,0.6634187746241719,1.0,6441651725.903008,97210398.312935,Selsis,-0.4682932806438965,-0.7637665323535799,log,0.2315072627111246,9.527539746780155e+19,0.8882256453439467,0.2315072627111246
