,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
556,1.0,1.0,1.0,1.7683224777658797,1.0,5489693065.272927,38678194.924448945,Jackson,-0.2917541326795306,-0.7873161809148487,linear,0.2851931791642771,2.4542188336815685e+21,0.8735021130653992,0.2851931791642771
557,1.0,1.0,1.0,2.234309918837242,1.0,3193408393.235599,50039312.22675075,Jackson,-0.30027474166127655,-0.7165852922078924,GP,0.09527809725646123,6.277792506704302e+20,0.15127516874411906,0.09527809725646123
558,1.0,1.0,1.0,1.9717438647818006,1.0,4044850234.3539267,80366085.47527552,Jackson,-0.42284869617913684,-0.6547437731018673,log,0.228483668588888,8.96670772112428e+20,0.6622157041197216,0.228483668588888
559,1.0,1.0,1.0,1.656454417609834,1.0,9936738693.896294,4393089.981012093,Jackson,-0.4505618564972917,-0.651265850776311,log,0.14480128877121995,9.794124816281232e+20,0.08177188043727923,0.14480128877121995
560,1.0,1.0,1.0,0.6340482341550778,1.0,7327206200.184689,22482722.215894993,Selsis,-0.3427845437465602,-0.7889159167247322,linear,0.23198094878761633,1.698774672763466e+21,0.8162507337917162,0.23198094878761633
561,1.0,1.0,1.0,1.4672374085536617,1.0,2228984326.9314566,40624902.449421555,Selsis,-0.36965173512949623,-0.7971598154024324,GP,0.08160046753304259,4.0332484173237315e+20,0.012615639073017215,0.08160046753304259
562,1.0,1.0,1.0,1.6511907147216274,1.0,1988903559.0250049,26325085.4295377,Selsis,-0.41381726387388207,-0.7438491838785328,log,0.07332324186486046,3.529455746017868e+20,0.7054191103798129,0.07332324186486046
563,1.0,1.0,1.0,0.6829717454638736,1.0,5944712885.699839,77793232.61022401,Selsis,-0.36308222945567215,-0.6565694844858243,log,0.061089019616362865,3.233398429197787e+20,0.033036865786931324,0.061089019616362865
564,1.0,1.0,1.0,2.947707861242344,1.0,2071212438.1178691,99645519.21049751,Jackson,-0.49089461452037003,-0.603116515369401,GP,0.05244347207968264,1.5975133598266107e+20,0.18156826058912856,0.05244347207968264
565,1.0,1.0,1.0,17.01197293658146,1.0,262717234.9816067,88337165.84498736,Jackson,-0.4661742116088351,-0.649462383936108,GP,0.07252516802222031,6.016327574906492e+19,0.5650687820008732,0.07252516802222031
566,1.0,1.0,1.0,0.9424371088578527,1.0,3557980267.3651557,43362590.55283499,Selsis,-0.31135925110391316,-0.7580153508934231,linear,0.07311346610381746,5.286956825315812e+20,0.958935036380071,0.07311346610381746
567,1.0,1.0,1.0,1.0245744382103443,1.0,3240090825.1778293,13512374.659981506,Selsis,-0.3745339983008633,-0.7590815534236933,log,0.06989852300944834,4.2295390993371536e+20,0.4521954484758727,0.06989852300944834
568,1.0,1.0,1.0,2.392330932909352,1.0,2853854487.396663,17485867.936882474,Jackson,-0.36217226943612923,-0.7207960956630569,GP,0.08130554669466249,3.733595892413407e+20,0.47122514362309154,0.08130554669466249
569,1.0,1.0,1.0,0.6813802482439428,1.0,5982826399.967739,17540826.417090144,Selsis,-0.33352017569323567,-0.6315209934830535,linear,0.4294958568274238,3.8397551939057515e+21,0.4784785821952874,0.4294958568274238
570,1.0,1.0,1.0,3.719155966087114,1.0,1503179889.633439,44351049.16846023,Jackson,-0.4340200362114064,-0.7599548754439971,GP,0.35946069056899393,9.104070011834755e+20,0.8903144684154836,0.35946069056899393
571,1.0,1.0,1.0,0.5821809244976651,1.0,9473083935.535484,48094263.229093164,Selsis,-0.4540461458378646,-0.6034288453138091,GP,0.13838345747582234,9.412503075878658e+20,0.08758773582643864,0.13838345747582234
572,1.0,1.0,1.0,0.8430549599556121,1.0,4107654864.6507807,63911412.82588852,Selsis,-0.48568632620442886,-0.730584906791967,GP,0.20010819125610893,7.067383394428996e+20,0.3746390278733751,0.20010819125610893
573,1.0,1.0,1.0,0.8726683377160352,1.0,3927238150.919115,85071004.94385329,Selsis,-0.3723776437367451,-0.7962485204466775,GP,0.21497865256339516,8.193723627141616e+20,0.12136450095799745,0.21497865256339516
574,1.0,1.0,1.0,2.741746934606846,1.0,1266462507.5084379,46270755.10257432,Selsis,-0.28454084379475486,-0.7732512795052924,log,0.21132174250085325,1.582696640834054e+21,0.6996681184136666,0.21132174250085325
575,1.0,1.0,1.0,1.7871263172061376,1.0,5002691438.684838,94244067.92788784,Jackson,-0.28938223290855036,-0.6566259891198087,linear,0.16937735863603975,1.414850353768917e+21,0.08643734976903028,0.16937735863603975
576,1.0,1.0,1.0,0.6534425513051249,1.0,6721384546.203525,2812997.978501296,Selsis,-0.4230564881249954,-0.7722046105546588,log,0.054374543109290074,3.2187979177600464e+20,0.015553459524475066,0.054374543109290074
577,1.0,1.0,1.0,0.5958972381511436,1.0,8816886450.332947,32125840.70782759,Selsis,-0.42336800847593037,-0.6642053686790148,log,0.09524571447017373,5.893415690460555e+20,0.8792218148448853,0.09524571447017373
578,1.0,1.0,1.0,0.9853022050002594,1.0,3381786821.942684,98697238.49453585,Selsis,-0.2962078735060399,-0.7558592621880625,GP,0.1208684707731836,6.928686673016712e+20,0.18155460819395985,0.1208684707731836
579,1.0,1.0,1.0,2.283486052227298,1.0,3080676193.4407268,6558320.081593309,Jackson,-0.407773038299887,-0.7546419342780963,linear,0.22466575459342872,8.671865574275695e+20,0.31250523683995746,0.22466575459342872
580,1.0,1.0,1.0,0.6716897293765108,1.0,6223603196.514675,20263380.67158693,Selsis,-0.3004396203618924,-0.6072282874652748,linear,0.05929879007372427,6.746087202608896e+20,0.45772509156596985,0.05929879007372427
581,1.0,1.0,1.0,5.1448704511507835,1.0,1001451672.3145119,42904031.71232236,Jackson,-0.3861519123999658,-0.7328056939990809,linear,0.2082130357338133,5.4312370540218915e+20,0.6627451786798157,0.2082130357338133
582,1.0,1.0,1.0,1.0276498989179776,1.0,3229513040.5240116,21187516.042909093,Selsis,-0.37553696290834393,-0.7010976576713037,GP,0.10613984232449912,6.420772322375276e+20,0.28024996800280433,0.10613984232449912
583,1.0,1.0,1.0,2.1484309713074707,1.0,3407886670.4681306,92412166.30405961,Jackson,-0.3983781822495398,-0.6768938947541547,linear,0.2737079206772398,9.839680240225189e+20,0.6053990016233446,0.2737079206772398
584,1.0,1.0,1.0,2.1780274334711516,1.0,3331281380.577861,33621684.233288124,Jackson,-0.4058713519323293,-0.6033375533637165,log,0.3575427261825162,1.8555947850060013e+21,0.36368074516761584,0.3575427261825162
585,1.0,1.0,1.0,2.697775340837364,1.0,2358786972.617592,22008436.968352914,Jackson,-0.4533598284704496,-0.7028289634586901,linear,0.07710341703801472,2.4956704381942845e+20,0.590207946393172,0.07710341703801472
586,1.0,1.0,1.0,0.8692600378732931,1.0,3947209125.1379914,47715229.66380347,Selsis,-0.3608813927368302,-0.6441237926752288,GP,0.3566491939859628,2.162581014289106e+21,0.9657133729426611,0.3566491939859628
587,1.0,1.0,1.0,1.0148060192165993,1.0,3274171641.108119,85828572.6381498,Selsis,-0.3246313038301002,-0.6916531479663448,GP,0.36907546437560507,1.908397472224959e+21,0.7931854412734274,0.36907546437560507
588,1.0,1.0,1.0,2.764474335674754,1.0,2275436469.341177,8362421.65375517,Jackson,-0.4485629261110115,-0.7667988861628279,linear,0.1546520239793025,4.849611699321626e+20,0.5658839231178453,0.1546520239793025
589,1.0,1.0,1.0,1.7201039885130474,1.0,7007973844.823145,14573137.415719172,Jackson,-0.44170039569538827,-0.6914706174919437,GP,0.05437555005233293,2.7291312703938753e+20,0.8921631636835945,0.05437555005233293
590,1.0,1.0,1.0,1.921287841239641,1.0,4271728278.0888047,78426805.71044897,Jackson,-0.4200191444592834,-0.6909785417654497,GP,0.08954779825428778,3.307283448459423e+20,0.07279739340951086,0.08954779825428778
591,1.0,1.0,1.0,2.3834705005034786,1.0,1428045985.0970447,6793740.475250391,Selsis,-0.2837577044215283,-0.6894503637608462,log,0.08491579095610899,8.457398532995275e+20,0.773215155640515,0.08491579095610899
592,1.0,1.0,1.0,0.8170964965971691,1.0,4279651334.14503,8266380.058217581,Selsis,-0.35093065968425047,-0.6163052564509509,log,0.2526060676146563,2.1038045602158467e+21,0.5970852184889051,0.2526060676146563
593,1.0,1.0,1.0,1.663413776627477,1.0,9554861053.827606,88191916.17448135,Jackson,-0.4791262363754299,-0.7883244896379128,GP,0.28665032150624165,1.0754667507515692e+21,0.2920301687424006,0.28665032150624165
594,1.0,1.0,1.0,0.6353949252781793,1.0,7282086344.609858,52008243.3822884,Selsis,-0.41253140919018444,-0.6815953994483188,linear,0.09187988030502366,4.7822479043123924e+20,0.7133578652102543,0.09187988030502366
595,1.0,1.0,1.0,3.9349842276565714,1.0,1397242299.3136942,3779594.2435501553,Jackson,-0.29326199346497717,-0.786596595513269,GP,0.2849166563142708,1.67604303509051e+21,0.5482434277339485,0.2849166563142708
