,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
4613,0.2,1940.9828413999203,2365.2209096404235,30.324805859929732,0.0030841950416221884,18447208.253557652,6386105.577593627,Selsis,-0.32724481036623815,-0.6767479557709982,log,0.49634444338368383,1.5361492103246672e+24,0.4611303202781194,0.49634444338368383
4614,0.2,101.17871812907671,0.017463915304594936,30.324805859929732,0.5233227119746685,3282469454.1558876,5695482.7765692035,Jackson,-0.3212010314521654,-0.753549795988121,log,0.1057020939660294,2.991658480462401e+20,0.10883309711189404,0.1057020939660294
4615,0.2,331.9043548953134,2.02225877319875,30.324805859929732,0.048631988478155815,3107562849.1779685,24395185.95476506,Jackson,-0.413141148474854,-0.6384001226852168,log,0.08396954422678417,1.9655335539503828e+22,0.0069428843029231135,0.08396954422678417
4616,0.2,493.5457956869105,9.887687947463032,30.324805859929732,0.021993432551267865,1005948013.89509,10194176.27192253,Jackson,-0.3615711204804495,-0.7922309279130784,linear,0.07396838385815681,5.962250510792496e+22,0.03992008638248823,0.07396838385815681
4617,0.2,121.27291052276799,0.03604459313768219,30.324805859929732,0.3642674182972332,3320873715.2761626,4660795.948432423,Selsis,-0.44186419102439733,-0.7358490753457323,log,0.056406027396644506,2.7481335244633804e+20,0.6325104752254792,0.056406027396644506
4618,0.2,100.43442243531148,0.016955682306896175,30.324805859929732,0.5325599319027954,5589543385.200395,86097271.2064916,Selsis,-0.30467878913151897,-0.7615758623367204,linear,0.4373379188391084,2.0390404543451937e+21,0.32250951058909416,0.4373379188391084
4619,0.2,2493.5869830620168,6442.924078197677,30.324805859929732,0.0008615864984537797,3070495863.588652,54647442.62483131,Selsis,-0.41255056880115176,-0.7042026007327606,log,0.2065874985889942,1.759054696198e+26,0.3143572215008309,0.2065874985889942
4620,0.2,312.9577380058518,1.598555435424462,30.324805859929732,0.05469864156621602,1322959586.192291,9100579.878478546,Selsis,-0.41331169670132717,-0.6231843468580944,GP,0.08228823683416849,1.1857445345641485e+22,0.22823889321582258,0.08228823683416849
4621,0.2,3030.5125514840884,14055.596244415741,30.324805859929732,0.0005833319377371785,2780026885.2511806,1501173.6740099932,Selsis,-0.3229214080203935,-0.624702784561663,GP,0.12230393042799743,3.9545086611131165e+26,0.10175881159820632,0.12230393042799743
4622,0.2,1248.0068438555809,404.2525730151344,30.324805859929732,0.003456252469006228,6086279769.45156,5710960.147513023,Jackson,-0.4763707119498407,-0.7953104731939661,GP,0.06248555971829083,2.5577353549123854e+24,0.6884578714539744,0.06248555971829083
