# Column descriptions:
# stellar_mass: Stellar mass startpoint (0.1 means the stellar mass is sampled raging from 0.10-0.11)
# planet_mass: Planet mass (in Earth masses)
# insol: Median insolation normalized to S₀ (extracted from CS_insol_01_tb, species index 0, column index 1)
# insol_lower_99: Lower bound of insolation (from CS_insol_001_tb, species index 0, column index 1)
# insol_up_50: Upper bound of insolation (from CS_insol_05_tb, species index 0, column index 1)
stellar_mass,planet_mass,CS_insol,CS_insol_lower_99,CS_insol_up_50
0.15,0.1,0.02075643386593064,0.012036268869153254,0.03419860226390412
0.15,0.5,0.10512778675798357,0.0613101809727728,0.17230759194145862
0.15,1.0,0.5392009811805152,0.3363559349453872,0.8311239614913141
0.15,2.0,11.892711660136607,6.451484503032258,24.49496826140721
0.15,3.0,20.370304033253145,10.523299773121012,5860.858588021174
0.15,4.0,34.06203806189778,17.572791087120205,100000.0
0.15,5.0,63.133125233986526,23.960523983834797,100000.0
0.15,6.0,93.00653868478825,31.634459490916377,100000.0
0.15,7.0,123.51268855523182,35.19052815454449,100000.0
0.15,8.0,273.99774904354035,49.098420934749896,100000.0
0.15,9.0,1112.9383476516111,51.99127266209681,100000.0
0.15,10.0,6657.179855912281,59.03008741112218,100000.0
0.16,0.1,0.024617060888653976,0.014995679484160284,0.03876958232148393
0.16,0.5,0.11823744368303443,0.0738536795740075,0.1819842917436209
0.16,1.0,0.6609951192856705,0.45205432219923475,0.9364607165726387
0.16,2.0,13.048201898434574,7.066454940952571,26.508592115626723
0.16,3.0,20.01087789274488,11.033852634394673,11605.354111933771
0.16,4.0,38.86005847124867,17.72573509594084,100000.0
0.16,5.0,56.99483487329266,24.34264132160842,100000.0
0.16,6.0,154.6992653202529,38.35200431545955,100000.0
0.16,7.0,235.05270575663158,43.462362168028065,100000.0
0.16,8.0,262.79817396019797,45.37158580617281,100000.0
0.16,9.0,3390.52065494967,57.83277224843952,100000.0
0.16,10.0,6988.007907720192,69.08994103258723,100000.0
0.17,0.1,0.025777293186643208,0.015023418927446271,0.04227504405134948
0.17,0.5,0.13772991433843162,0.08764073899758408,0.2084185432822935
0.17,1.0,0.6661037619348485,0.42562402662133764,1.0043528274410505
0.17,2.0,13.561772273817283,7.425461482214866,27.80083291495989
0.17,3.0,22.93710448096076,11.939791752091228,8575.621157030168
0.17,4.0,36.38942764520409,16.691601866507128,100000.0
0.17,5.0,71.06596678046984,27.54891517890633,100000.0
0.17,6.0,141.6085295956228,44.03559671914471,100000.0
0.17,7.0,173.36896024975482,48.69438053013195,100000.0
0.17,8.0,447.67727067017904,54.59888173382846,100000.0
0.17,9.0,954.5508532686939,72.99308665690535,100000.0
0.17,10.0,5134.779533372873,84.4469272256079,100000.0
0.18,0.1,0.02876109078974243,0.01755391483058528,0.04521596221889573
0.18,0.5,0.15103739145375353,0.09754510055121492,0.22546194198972058
0.18,1.0,0.7293471545867266,0.4725650564612141,1.0858477163959663
0.18,2.0,15.437899416389547,8.167030603084976,32.493648823347264
0.18,3.0,25.37991214276653,13.762558765627295,38606.389381882895
0.18,4.0,41.01245266016034,19.79894676710629,100000.0
0.18,5.0,86.8127631607325,31.34254955027249,100000.0
0.18,6.0,152.82771623757952,51.93193586726532,100000.0
0.18,7.0,245.2808046715121,54.458036497492486,100000.0
0.18,8.0,414.7871843701803,70.7058291759133,100000.0
0.18,9.0,645.0066954391227,75.53306479883068,100000.0
0.18,10.0,9578.164472149308,95.38053032121692,100000.0
0.19,0.1,0.030866066011272595,0.018887037333810246,0.04841132850048449
0.19,0.5,0.15075786466340388,0.09316724422339766,0.23431759217908696
0.19,1.0,0.7751124612412676,0.48212384669721803,1.1979979166259938
0.19,2.0,16.371530697617512,8.555636828099166,35.02704412932386
0.19,3.0,29.134221092588373,15.099263221037182,5138.74939069078
0.19,4.0,47.6455366071509,23.960078574686108,100000.0
0.19,5.0,88.57235145870465,37.31093817354304,100000.0
0.19,6.0,173.64655444197433,59.80963031844259,100000.0
0.19,7.0,257.16692951096184,63.926499131708134,100000.0
0.19,8.0,568.1218617549007,65.2699269844466,100000.0
0.19,9.0,1562.933353627204,90.83695287859334,100000.0
0.19,10.0,4123.163606121985,93.11630987587033,100000.0
0.2,0.1,0.03357357907439295,0.020680432786135718,0.05233893790665065
0.2,0.5,0.17363944907508236,0.11021784976533079,0.2633452661951449
0.2,1.0,0.8146204703085972,0.5132986592877378,1.244223088657627
0.2,2.0,18.423319372738916,10.758213221991436,34.17440898188267
0.2,3.0,28.777398878567105,14.127522216465557,14701.38380726447
0.2,4.0,54.16884109097759,25.926897490959853,100000.0
0.2,5.0,101.3171558356406,38.51593895930524,100000.0
0.2,6.0,204.11952262006403,61.91246559711046,100000.0
0.2,7.0,455.1473649468759,65.5061531493815,100000.0
0.2,8.0,536.081791563572,83.15528925490608,100000.0
0.2,9.0,2037.3306150982635,93.84855841299108,100000.0
0.2,10.0,13053.396926020034,102.90357951547833,100000.0
0.21,0.1,0.03530862719872798,0.021644193614073992,0.0552883516847348
0.21,0.5,0.1736760179693138,0.10895031605448549,0.26625870368622323
0.21,1.0,0.9008024382266572,0.5869621790081611,1.334159736410557
0.21,2.0,18.66862133709817,10.28142509655349,37.63704807290562
0.21,3.0,32.906263497984455,16.927437975886665,2844.7612200729404
0.21,4.0,52.1590744751181,23.40712469757284,100000.0
0.21,5.0,104.02983989951755,40.98411686075597,100000.0
0.21,6.0,197.73225370558288,61.53707384129228,100000.0
0.21,7.0,244.01209152068066,70.8283893147579,100000.0
0.21,8.0,460.69769774784123,83.52616503334328,100000.0
0.21,9.0,2005.5977258406938,91.28273908837554,100000.0
0.21,10.0,2651.3281552123995,111.96121916360114,100000.0
0.22,0.1,0.036532621221046196,0.022184948408003412,0.05769988437984761
0.22,0.5,0.1805404809949684,0.10871614685127819,0.2873563058213488
0.22,1.0,0.8994900201127044,0.5655684133771416,1.3764308026804395
0.22,2.0,19.43717682971883,10.657947447895376,40.25423140936685
0.22,3.0,33.56387172777038,18.466099316645987,7728.680585971785
0.22,4.0,60.082615000119006,29.513516671828455,100000.0
0.22,5.0,118.9578925115072,46.63369779660863,100000.0
0.22,6.0,225.43140083152343,70.19382886513006,100000.0
0.22,7.0,289.7350561767829,58.78658186012973,100000.0
0.22,8.0,655.579313405829,103.79944358090556,100000.0
0.22,9.0,1172.6052418633037,100.73325103819698,100000.0
0.22,10.0,2840.2617171436596,103.10816583730147,100000.0
0.23,0.1,0.03708636016641541,0.02220349245604121,0.05934203612791508
0.23,0.5,0.20045199385340592,0.12488438799319526,0.3092537141318392
0.23,1.0,0.9606364047971079,0.6035884544829996,1.4707603740120647
0.23,2.0,19.10832533555789,10.418967978075056,39.1390031812611
0.23,3.0,38.00282531099877,19.521956458537204,2254.602863407414
0.23,4.0,60.709182281731984,27.160219242356554,100000.0
0.23,5.0,105.59506232836576,41.432913543821414,100000.0
0.23,6.0,230.90161159068683,71.25123139301176,100000.0
0.23,7.0,319.400554683796,84.83334384459312,100000.0
0.23,8.0,540.9835648777903,90.1089440944421,100000.0
0.23,9.0,1167.342132601447,101.8828377373567,100000.0
0.23,10.0,8091.93130505676,143.97923623418706,100000.0
0.24,0.1,0.040294869210010346,0.025037712298850445,0.062317594336012264
0.24,0.5,0.19793542503120964,0.11928061220560958,0.3148256679328898
0.24,1.0,1.0143878656765017,0.6201726409372816,1.592821431101374
0.24,2.0,21.263879368933296,11.823004102404594,42.36445663562002
0.24,3.0,37.58622666399385,20.112412865359133,20886.086026839217
0.24,4.0,65.10151139082753,26.59804913520739,100000.0
0.24,5.0,118.06396365241582,45.05827160382261,100000.0
0.24,6.0,367.9981965288621,69.51907066555948,100000.0
0.24,7.0,596.8358080015552,119.26074364497275,100000.0
0.24,8.0,802.7331122666506,107.4887521700052,100000.0
0.24,9.0,2210.3848815231568,116.0039878397412,100000.0
0.24,10.0,4197.9249640409535,112.1711481847022,100000.0
0.25,0.1,0.04135827411041923,0.024213393372499347,0.0675478538869965
0.25,0.5,0.22313587771728446,0.13886978685115278,0.3445838455731019
0.25,1.0,1.0797412610574841,0.6787502355851047,1.6529286940597427
0.25,2.0,21.92263428563841,10.79840400006365,51.61187114786119
0.25,3.0,36.36728347302414,17.817454383283533,3625.3747147587483
0.25,4.0,64.61018485886439,30.335210642553857,100000.0
0.25,5.0,117.62927232289083,52.54197711388895,100000.0
0.25,6.0,254.45895399983928,72.57036817217023,100000.0
0.25,7.0,364.81993490763574,101.87349419862318,100000.0
0.25,8.0,909.2866646905912,100.36486626206293,100000.0
0.25,9.0,2361.542267864552,102.71008343343564,100000.0
0.25,10.0,5556.367635754862,162.41176108751444,100000.0
0.26,0.1,0.04403379534992149,0.02558370671657301,0.0724225271366524
0.26,0.5,0.21716919465644816,0.12674485209120503,0.35570883226763417
0.26,1.0,1.0729560516015777,0.6428984145961845,1.7163391399234478
0.26,2.0,22.804050940734413,10.996224255777019,53.2153699990277
0.26,3.0,40.30638166352806,17.82115317013805,15651.976340344941
0.26,4.0,72.98402866016714,32.0131978055254,100000.0
0.26,5.0,123.87768702941057,55.12215834124463,100000.0
0.26,6.0,274.0118794436318,84.67880133875492,100000.0
0.26,7.0,364.77968625931567,104.98855843479888,100000.0
0.26,8.0,940.2956790852538,133.50826311585033,100000.0
0.26,9.0,3470.758594378633,132.74729909249328,100000.0
0.26,10.0,10857.846885879706,156.96955718936957,100000.0
0.27,0.1,0.04558880853386569,0.02593781944985741,0.07643393218878687
0.27,0.5,0.22342598548910642,0.1285071585197619,0.3708946622894489
0.27,1.0,1.1111405360767619,0.6512250253583529,1.813282275499451
0.27,2.0,23.453132509643165,10.689891392004483,58.199275409644
0.27,3.0,43.854743229017664,20.70889464080012,6931.415439895174
