,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
2773,0.7,3543.8389324433324,26283.35644892254,0.33055351237221414,0.0024670611070540423,9390109889.744097,1326142.4422125744,Jackson,-0.40213873033211794,-0.6263501557542761,GP,0.2427095699224155,5.622967157555717e+24,0.7427238186673791,0.2427095699224155
2774,0.7,571.5894867587106,17.787784277972953,0.33055351237221414,0.09274595774490024,7400844231.682009,9039625.230313908,Selsis,-0.4669021882746138,-0.6035499431785399,GP,0.20460956630600438,1.7887847515108157e+23,0.9513754642739476,0.20460956630600438
2775,0.7,105.68749313998802,0.020791188314877647,0.33055351237221414,2.6716925895487464,6012613498.069642,1412832.730657656,Jackson,-0.44927856164268354,-0.7977233144396946,linear,0.17414725358029706,1045964810574384.5,0.6928361464134931,0.17414725358029706
2776,0.7,464.88827973382956,7.783578583365785,0.33055351237221414,0.1356887813612032,4633284313.315046,6633138.658475051,Jackson,-0.4042309570552945,-0.7529501383412798,log,0.0740577097238657,4.855175265613292e+22,0.44225394139267304,0.0740577097238657
2777,0.7,711.6652216467342,42.745253429694394,0.33055351237221414,0.05771059697786056,4346038062.282485,73733464.05755141,Jackson,-0.3610977886739233,-0.6500762531982378,linear,0.12054417311199554,3.362232531435362e+23,0.15826027632070128,0.12054417311199554
2778,0.7,260.09058051351485,0.762576505836571,0.33055351237221414,0.42900721544764137,2714306941.065603,4792470.097718172,Jackson,-0.42638706870593834,-0.6933710659943776,GP,0.3627843869071013,2.1823248588924954e+20,0.8583568031780575,0.3627843869071013
2779,0.7,255.2579152034126,0.7074598479841084,0.33055351237221414,0.44984867051989025,4588781769.437833,3708118.2008121284,Selsis,-0.447940618333075,-0.7926373551539694,linear,0.05910909298475263,2.6425220831674567e+21,0.7381486177398197,0.05910909298475263
2780,0.7,201.6793470279014,0.27569610550290996,0.33055351237221414,0.7015633244735827,1221251464.054278,15362592.331440918,Selsis,-0.46921696664180995,-0.681955863740397,log,0.12579853407720507,209827852288841.72,0.49795620605004787,0.12579853407720507
2781,0.7,366.24526980662125,2.998285761247895,0.33055351237221414,0.23082569644168116,9327531679.760328,18931650.50134034,Selsis,-0.4957389856408969,-0.7705851816511086,linear,0.15317435424175954,1.4691250786215068e+22,0.3615714844173209,0.15317435424175954
2782,0.7,875.5595046163824,97.93266940642495,0.33055351237221414,0.03887326813205586,5898544099.846375,17272031.69007737,Selsis,-0.29877898018961224,-0.6390265140707433,log,0.10612922098115633,8.782683351754343e+23,0.4839268025324005,0.10612922098115633
2783,0.7,3817.547612236891,35393.43991135457,0.33055351237221414,0.0020369716252276564,5598092953.542066,1136318.9328637102,Jackson,-0.4411145221264389,-0.6568768258959187,GP,0.42911441554972257,4.827680479403066e+24,0.9011541843473209,0.42911441554972257
2784,0.7,3728.9588388796437,32220.723139218415,0.33055351237221414,0.00221371166951777,8815143999.845245,15177975.185318353,Selsis,-0.4341282178689222,-0.7225075964188993,log,0.33806166966956314,8.645619274677623e+24,0.9576827190705073,0.33806166966956314
2785,0.7,180.80789950709533,0.17809614895199086,0.33055351237221414,0.8857385705433588,2508271177.957254,62523016.433009624,Selsis,-0.47970250254712676,-0.7882086746216722,log,0.1641381532723833,425566647147869.8,0.31618220770230976,0.1641381532723833
2786,0.7,333.590531763175,2.063667798989548,0.33055351237221414,0.2786860738194183,9477437020.551334,5984320.610007381,Selsis,-0.4007992103792289,-0.787045331563387,linear,0.0864837758872654,1.1470228616400146e+22,0.5969066212380285,0.0864837758872654
2787,0.7,779.8996540755601,61.65095889872382,0.33055351237221414,0.04843190165122117,5041065564.594516,26779782.729774427,Jackson,-0.48889335489138175,-0.6583263317528965,linear,0.2632310063265626,3.699846422282718e+23,0.2258587776237807,0.2632310063265626
2788,0.7,4538.819280010882,70722.3183711577,0.33055351237221414,0.001504001459041307,9391405503.304216,12378090.892317975,Selsis,-0.4682431965570646,-0.6069305976638302,linear,0.06663870655976095,4.650570519631577e+24,0.6607160368567773,0.06663870655976095
2789,0.7,229.24122694962955,0.4602097569465887,0.33055351237221414,0.5538121515006211,3347340913.155499,15979363.79729806,Selsis,-0.38044236047231705,-0.7255301497330883,log,0.09514280944552941,579665718368219.1,0.9251064613623045,0.09514280944552941
2790,0.7,4610.452929303719,75293.81363268751,0.33055351237221414,0.0013691806228829995,3118320219.624,25472201.796159867,Jackson,-0.3294254240531348,-0.7040395953196261,GP,0.1870707995804897,8.777577656248774e+23,0.4183837088529131,0.1870707995804897
2791,0.7,116.63292568553189,0.030836821326196463,0.33055351237221414,2.1411295414698674,4060678355.4982605,62232779.14789775,Selsis,-0.4842478928892131,-0.6815352917408524,log,0.17303168054560028,695740102967174.6,0.3497358518390089,0.17303168054560028
2792,0.7,1367.4143979243754,582.6201740943436,0.33055351237221414,0.01582947308951716,5376808814.678177,10142581.411143005,Selsis,-0.3102315923520831,-0.7799209128177965,GP,0.27563793534584813,9.262568312329186e+23,0.20239444551783403,0.27563793534584813
