           t           p         gam
   2.0000E+02  3.0000E+02  1.3458E+00
   4.0000E+02  3.0000E+02  1.2519E+00
   6.0000E+02  3.0000E+02  1.2132E+00
   8.0000E+02  3.0000E+02  1.1928E+00
   1.0000E+03  3.0000E+02  1.1808E+00
   1.2000E+03  3.0000E+02  1.1731E+00
   1.4000E+03  3.0000E+02  1.1679E+00
   1.6000E+03  3.0000E+02  1.1637E+00
   1.8000E+03  3.0000E+02  1.1594E+00
   2.0000E+03  3.0000E+02  1.1539E+00
   2.2000E+03  3.0000E+02  1.1469E+00
   2.4000E+03  3.0000E+02  1.1392E+00
   2.6000E+03  3.0000E+02  1.1320E+00
   2.8000E+03  3.0000E+02  1.1267E+00
   3.0000E+03  3.0000E+02  1.1237E+00
   3.2000E+03  3.0000E+02  1.1230E+00
   3.4000E+03  3.0000E+02  1.1246E+00
   3.6000E+03  3.0000E+02  1.1279E+00
   3.8000E+03  3.0000E+02  1.1327E+00
   4.0000E+03  3.0000E+02  1.1387E+00
   2.0000E+02  1.0000E+03  1.3458E+00
   4.0000E+02  1.0000E+03  1.2519E+00
   6.0000E+02  1.0000E+03  1.2131E+00
   8.0000E+02  1.0000E+03  1.1928E+00
   1.0000E+03  1.0000E+03  1.1808E+00
   1.2000E+03  1.0000E+03  1.1731E+00
   1.4000E+03  1.0000E+03  1.1679E+00
   1.6000E+03  1.0000E+03  1.1640E+00
   1.8000E+03  1.0000E+03  1.1602E+00
   2.0000E+03  1.0000E+03  1.1558E+00
   2.2000E+03  1.0000E+03  1.1503E+00
   2.4000E+03  1.0000E+03  1.1442E+00
   2.6000E+03  1.0000E+03  1.1380E+00
   2.8000E+03  1.0000E+03  1.1329E+00
   3.0000E+03  1.0000E+03  1.1294E+00
   3.2000E+03  1.0000E+03  1.1278E+00
   3.4000E+03  1.0000E+03  1.1281E+00
   3.6000E+03  1.0000E+03  1.1300E+00
   3.8000E+03  1.0000E+03  1.1333E+00
   4.0000E+03  1.0000E+03  1.1377E+00
   2.0000E+02  3.0000E+03  1.3458E+00
   4.0000E+02  3.0000E+03  1.2519E+00
   6.0000E+02  3.0000E+03  1.2131E+00
   8.0000E+02  3.0000E+03  1.1928E+00
   1.0000E+03  3.0000E+03  1.1808E+00
   1.2000E+03  3.0000E+03  1.1731E+00
   1.4000E+03  3.0000E+03  1.1680E+00
   1.6000E+03  3.0000E+03  1.1641E+00
   1.8000E+03  3.0000E+03  1.1607E+00
   2.0000E+03  3.0000E+03  1.1570E+00
   2.2000E+03  3.0000E+03  1.1526E+00
   2.4000E+03  3.0000E+03  1.1477E+00
   2.6000E+03  3.0000E+03  1.1426E+00
   2.8000E+03  3.0000E+03  1.1380E+00
   3.0000E+03  3.0000E+03  1.1345E+00
   3.2000E+03  3.0000E+03  1.1324E+00
   3.4000E+03  3.0000E+03  1.1318E+00
   3.6000E+03  3.0000E+03  1.1326E+00
   3.8000E+03  3.0000E+03  1.1347E+00
   4.0000E+03  3.0000E+03  1.1380E+00
   2.0000E+02  1.0000E+04  1.3458E+00
   4.0000E+02  1.0000E+04  1.2519E+00
   6.0000E+02  1.0000E+04  1.2131E+00
   8.0000E+02  1.0000E+04  1.1928E+00
   1.0000E+03  1.0000E+04  1.1808E+00
   1.2000E+03  1.0000E+04  1.1731E+00
   1.4000E+03  1.0000E+04  1.1680E+00
   1.6000E+03  1.0000E+04  1.1642E+00
   1.8000E+03  1.0000E+04  1.1611E+00
   2.0000E+03  1.0000E+04  1.1579E+00
   2.2000E+03  1.0000E+04  1.1544E+00
   2.4000E+03  1.0000E+04  1.1505E+00
   2.6000E+03  1.0000E+04  1.1464E+00
   2.8000E+03  1.0000E+04  1.1426E+00
   3.0000E+03  1.0000E+04  1.1394E+00
   3.2000E+03  1.0000E+04  1.1371E+00
   3.4000E+03  1.0000E+04  1.1360E+00
   3.6000E+03  1.0000E+04  1.1360E+00
   3.8000E+03  1.0000E+04  1.1371E+00
   4.0000E+03  1.0000E+04  1.1391E+00
   2.0000E+02  3.0000E+04  1.3458E+00
   4.0000E+02  3.0000E+04  1.2519E+00
   6.0000E+02  3.0000E+04  1.2131E+00
   8.0000E+02  3.0000E+04  1.1928E+00
   1.0000E+03  3.0000E+04  1.1808E+00
   1.2000E+03  3.0000E+04  1.1731E+00
   1.4000E+03  3.0000E+04  1.1680E+00
   1.6000E+03  3.0000E+04  1.1643E+00
   1.8000E+03  3.0000E+04  1.1613E+00
   2.0000E+03  3.0000E+04  1.1585E+00
   2.2000E+03  3.0000E+04  1.1556E+00
   2.4000E+03  3.0000E+04  1.1524E+00
   2.6000E+03  3.0000E+04  1.1491E+00
   2.8000E+03  3.0000E+04  1.1459E+00
   3.0000E+03  3.0000E+04  1.1431E+00
   3.2000E+03  3.0000E+04  1.1410E+00
   3.4000E+03  3.0000E+04  1.1396E+00
   3.6000E+03  3.0000E+04  1.1392E+00
   3.8000E+03  3.0000E+04  1.1395E+00
   4.0000E+03  3.0000E+04  1.1407E+00
